feature_set	split_year	feature	coefficient	abs_coefficient
All leakage-safe features	2015	rule_of_law_lag1	-0.4352804631	0.4352804631
All leakage-safe features	2015	liberal_component_lag1	-0.2678710448	0.2678710448
All leakage-safe features	2015	participatory_component_lag1	0.3606616624	0.3606616624
All leakage-safe features	2015	freedom_expression_altinfo_lag1	0.2843215815	0.2843215815
All leakage-safe features	2015	freedom_association_lag1	0.1840059625	0.1840059625
All leakage-safe features	2015	civil_society_participation_lag1	0.06243136695	0.06243136695
All leakage-safe features	2015	regional_high_intensity_count_lag1	0	0
All leakage-safe features	2015	regional_avg_intensity_lag1	0	0
All leakage-safe features	2015	regional_conflict_growth_lag1	-0.1780052876	0.1780052876
All leakage-safe features	2015	country_high_intensity_count_lag1	0	0
All leakage-safe features	2015	country_avg_intensity_lag1	0	0
All leakage-safe features	2015	country_conflict_growth_lag1	-0.0005107848937	0.0005107848937
