year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2020	1	3	2	5	1	1	1	57	-7.185914138	5339.687114	2.526635001	69.79533474	50629997	34.05557097	15.983	77.63825335	0.643	0.496	0.673	0.751	0.651	0.737	0.859	0.753	1	0	1	1	0	1	0	1	1	0	0	45	0	0	0	4.61E-06	0	True Negative
2021	1	3	2	5	1	1	1	58	10.80119819	6222.621644	3.495057574	73.02837449	51188173	40.05914639	13.898	77.83395703	0.654	0.499	0.656	0.74	0.651	0.764	0.844	0.751	1	0	1	1	0	1	0	1	1	0	0	46	0	0	0	1.82E-06	0	True Negative
2022	1	3	2	5	1	1	1	59	7.328277294	6680.445069	10.17723135	72.79637855	51737944	48.28265511	10.541	78.04646331	0.696	0.561	0.76	0.797	0.66	0.84	0.891	0.784	1	0	1	1	0	1	0	1	1	0	0	47	0	0	0	1.36E-06	0	True Negative
2023	1	3	2	5	1	1	1	60	0.712380032	7000.836605	11.73590449	77.33686322	52321152	40.38813249	9.591	78.27557158	0.711	0.57	0.75	0.795	0.652	0.869	0.9	0.779	1	0	1	1	0	1	0	1	1	0	0	48	0	0	0	5.87E-07	0	True Negative
2024	1	3	2	5	1	1	1	61	1.598331537	7919.208868	6.609085937	79.34543299	52886363	37.02546871	9.619	78.52108119	0.698	0.554	0.688	0.782	0.641	0.84	0.898	0.758	2	0	1	1	1	1	0	1	1	0	0	49	0	0	0	4.42E-07	0	True Negative
2018	1	3	1	3	2	2	1	5	5.17429154	3860.953531	3.198347559	39.90463864	269951846	43.07430896	4.387	55.09568405	0.599	0.463	0.763	0.75	0.623	0.772	0.704	0.888	14	0	1	12	2	1	0	1	1	0	0	2	0	0	0	0.001180364902	0	True Negative
2019	1	3	1	3	1	2	1	6	5.01928768	4106.948562	3.030584609	47.69064898	272489381	37.62777754	3.59	55.73820496	0.596	0.459	0.766	0.745	0.61	0.821	0.697	0.844	11	0	1	14	-3	1	0	1	1	0	0	3	0	0	0	0.0001302105483	0	True Negative
2020	1	3	1	3	1	1	1	7	-2.065511829	3853.702888	1.919835273	53.72649449	274814866	32.9721754	4.255	56.27852876	0.566	0.411	0.684	0.685	0.614	0.777	0.671	0.884	9	0	1	11	-2	1	0	1	1	0	0	4	0	0	0	3.13E-05	0	True Negative
2021	1	3	1	3	1	1	1	8	3.702885628	4287.17314	1.56007883	62.10447842	276758053	40.20475827	3.827	56.87617025	0.545	0.398	0.686	0.691	0.602	0.756	0.668	0.847	15	0	1	9	6	1	0	1	1	0	0	5	0	0	0	7.72E-06	0	True Negative
2022	1	3	1	3	1	1	1	9	5.307197227	4730.834848	4.209464637	66.48461277	278830529	45.4646702	3.462	57.49347042	0.561	0.39	0.732	0.647	0.62	0.78	0.681	0.875	15	0	1	15	0	1	0	1	1	0	0	6	0	0	0	2.13E-06	0	True Negative
